l90,l130,l200,l250,o73,o84,o104,o128
3.5306624266820164,4.100676128909021,2.8826874479708904,5.202291382842181,2.4582973476351864,3.554297294062828,3.454275098437957,4.075512109979968
4.483812499787826,4.150390027793128,3.9449488524848264,4.481937703339518,2.156917309677325,2.0181450139603747,2.4748677701508113,4.113541156523396
3.853276672921357,3.337572883781307,4.220078754911288,3.562469869659119,2.757862230466888,3.0467069744771167,0.0,3.480493538587143
,3.0056468995573624,,3.752294545563459,1.2977057780381245,2.8170549251449244,3.1879752112171884,2.579072774169328
,,,,2.743301711759614,2.421994897209543,2.4485719366332517,3.4258413909023187
,,,,,,1.1388620541459058,
