l90,l130,l200,l250,o73,o84,o104,o128
3.3648804993852823,4.269627986914024,4.486077974067592,5.369344735170823,3.231004426958743,2.45549265318458,2.6100569758591208,3.3796640721922246
4.0858577949455555,3.8118268426160684,5.176917160885783,4.547166989742212,2.9848044339831494,3.120070863188289,2.5117920712560298,3.518050786886258
3.6714320283403015,3.6382358358225595,4.145569979412229,5.062596950421692,2.6643684279189994,2.3961277359539066,2.8209454673177965,2.904300056712592
,2.8734176986245883,4.567698893671167,4.679935938284708,,3.1024173263936112,2.0742437289251003,3.0089797132579226
,4.360470190302421,,,,,,2.249133175315625
,3.7394793282292107,,,,,,
