l90,l130,l200,l250,o73,o84,o104,o128
0.0,2.171750552123279,0.0,0.0,3.8362923911701903,4.534429833196379,5.980635048216103,3.0513948537865425
0.0,1.1138658148200409,1.1886300648931225,1.0105244083871259,3.514703786336881,4.654378922442186,5.3432885955665315,3.590158899560595
1.9578023462264416,1.7725471101936396,0.0,3.3754529866527605,2.0677147362474684,5.171615849673396,6.131620586476129,4.251516998699539
2.2174005976899807,,2.259552992644646,3.2337124322445323,3.0275044488648484,3.7098941690997465,5.437327670180318,3.5511162809929346
,,3.0175559444288655,,3.6577484778125715,4.804916348770606,3.9045792542632207,2.7189801014567108
,,2.4854194387141235,,,2.9905572545257777,5.154252467570495,
,,,,,,4.9088688705780505,
