l90_1,l90_3,l90_4,l90_5,l250_1,l250_5,l250_6,l250_7,o73_1,o73_2,o73_3,o73_4,o73_5,o128_1,o128_2,o128_3,o128_4,o128_5,Time
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0466651457782794,0.9708613974755481,0.9845988002776995,0.9606257346251829,1.1623785302998162,0.96649020553301,0.9649784943110958,0.9779255348011309,0.9470667100572503,0.9237318588971751,0.9953209649898017,0.9377677570443888,0.9712598394813067,1.071729465191027,0.978424685235442,0.9875616259902168,0.9288034811170744,0.9635875554406429,0.01667
1.070984600237835,0.9572498390719284,0.9713538830229704,0.9332963484947805,1.244043203249085,0.9378470954296096,0.9512135578105162,0.9557700191391487,0.9007598505166261,0.8730550511122475,0.9708285463474171,0.8872645480764647,0.940805528479143,1.0813322757090038,0.9556677483722298,0.9709043304994165,0.8677463017813175,0.9227335798832568,0.03334
1.113938965674178,0.9852073286420446,0.9471088581295497,0.9079276479032353,1.2535167656899748,0.9102404982244491,0.9387414496406987,0.9349944722091282,0.8510478667532878,0.8380499781414367,0.9538736308395351,0.8555303077153155,0.9089578583157407,1.0321841263259581,0.9363789551410855,0.9343593286514954,0.8206887058422917,0.896680026267655,0.05001
1.1129683260818937,1.0226958726907909,0.9194363119609628,0.892743676445936,1.228231414150978,0.8891769250510886,0.9265855475276239,0.9157902231124763,0.8257941970217427,0.8065345474028162,0.9134776535311963,0.8188914758751312,0.867022954345337,1.0152982420831849,0.9259814995180562,0.8784533740966814,0.7781223079117782,0.8574299802369976,0.06668
1.1264777452669634,1.0316937830261523,0.8867106274787091,0.8620505259523769,1.1966649407705046,0.8668597970945371,0.895538510228782,0.9031384247359864,0.7916480788673494,0.7673241619607266,0.8834940534360407,0.7819908706303095,0.8243355494203579,0.9860539709086861,0.9102510356713681,0.8333914501720303,0.7449749954245228,0.8328431791948957,0.08335000000000001
1.1153637453523144,1.003665414654773,0.8717630117950569,0.8376211713746736,1.1569934290453192,0.8509126978488907,0.8780568205164502,0.8798159848494205,0.7523929248506208,0.7322493509243401,0.8403047160640706,0.7548234179520664,0.7808663304049993,0.9612952735505519,0.8862421954996921,0.7886541473790685,0.7247622484218471,0.8015299559972708,0.10002
1.0848812414792148,0.9679441661296476,0.8638244710643734,0.8240605770231343,1.138245173683015,0.8314044760873266,0.8456127976272247,0.8616610372585741,0.7311247607226411,0.7004152554086782,0.8219713340848687,0.7275441620961892,0.7480997270374092,0.9360092482163072,0.8427595974735151,0.7682803961642696,0.6921395681542435,0.79008523246122,0.11669
1.0495807105469712,0.9983682576718355,0.8366364425350431,0.8054049051157863,1.1150585108466322,0.8103103788180149,0.8219929800447096,0.8363732247959698,0.7006579890230316,0.6689086899980592,0.8041784611319832,0.7035840113965295,0.7243708457676153,0.9151809842825751,0.8111606878729284,0.7353778453057107,0.6556860069086093,0.762135604976656,0.13336
1.0348727575965817,1.0026175925193184,0.799991418874518,0.7900346152604414,1.081820250883676,0.7905927863219353,0.8000357396444489,0.8156619408923826,0.6757518959303235,0.6387215126100948,0.7818795981072512,0.6681251658318335,0.694774485850246,0.8781062055473399,0.7816787886554005,0.7193852225694523,0.6097778533041839,0.7346209465584782,0.15003
