l90_1,l90_3,l90_4,l90_5,l250_1,l250_5,l250_6,l250_7,o73_1,o73_2,o73_3,o73_4,o73_5,o128_1,o128_2,o128_3,o128_4,o128_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13827358790472058,0.17398742179800122,0.10788097169872958,0.09859988045772908,0.04462315718270877,0.03501755741637474,0.028587447961009163,0.027177915551916648,0.15295072225867468,0.1258548697455553,0.17355303777231929,0.1605718582906039,0.12718819420764302,0.08068997764094782,0.08348097157180998,0.082474435770066,0.07635990547085826,0.08055023378934496
0.19554838333284413,0.2460553715890615,0.15256673329833134,0.13944128819168633,0.06310667408369311,0.04952230461941569,0.04042875662009422,0.03843537677055117,0.21630498579297835,0.1779856636848638,0.2454410598086642,0.22708289973002296,0.17987126922219202,0.11411286072741016,0.1180599221969364,0.11663646561509597,0.1079892139384152,0.11391523307721513
0.23949687959581745,0.3013550544320549,0.1868553241520998,0.17078000257300446,0.07728957543458365,0.060652188602121376,0.04951491232719915,0.04707353057973596,0.2649184220063805,0.21798702877926493,0.3006026792295775,0.2781186168250758,0.22029641449057524,0.13975914093571834,0.14459328422758802,0.14284991307933032,0.1322592359366832,0.13951709748469684
0.2765471758094411,0.3479748435960024,0.21576194339745916,0.19719976091545816,0.08924631436541754,0.07003511483274948,0.05717489592201831,0.054355831103833296,0.3059014445173493,0.2517097394911106,0.34710607554463857,0.3211437165812078,0.25437638841528604,0.16137995528189567,0.16696194314361995,0.164948871540132,0.15271981094171652,0.16110046757868993
0.30918914204774783,0.3890477023702593,0.24122918619709025,0.22047603527683526,0.09978041283119478,0.07830163878901579,0.06392347694405423,0.06077166666083433,0.3420082121780869,0.2814200440504434,0.3880763901604947,0.3590495904112537,0.2844014481837349,0.18042827510809747,0.1866691272622946,0.18441844478780775,0.17074593938829716,0.1801157983564758
0.3386997352704411,0.4261804050674942,0.2642533336175204,0.2415193958208549,0.10930396580964663,0.08577514770873093,0.0700246605528398,0.06657202537464724,0.3746512253239028,0.30828021252105103,0.4251163858521581,0.3933191198624688,0.3115461771147367,0.19764927257690573,0.20448578358272268,0.2020202844606067,0.18704280521076044,0.1973069714457875
0.3658375264845195,0.4603274493308098,0.2854262223108359,0.26087076299184875,0.118061776619993,0.09264774844465302,0.07563527792283073,0.07190600570348618,0.4046695739441648,0.3329806866331664,0.4591781772253564,0.4248332045924432,0.33650833157680937,0.21348561413331035,0.22086988998506216,0.21820684656796452,0.20202932001229154,0.2131158866547188
0.39109676666568827,0.492110743178123,0.30513346659666274,0.27888257638337266,0.12621334816738622,0.09904460923883138,0.08085751324018843,0.07687075354110233,0.4326099715859566,0.35597132736972753,0.4908821196173284,0.4541657994600458,0.359742538444384,0.22822572145482034,0.2361198443938728,0.233272931230192,0.2159784278768304,0.22783046615443026
0.4148207637141619,0.5219622653940038,0.3236429150961889,0.29579964137318737,0.13386947154812628,0.1050526722491242,0.08576234388302746,0.08153374665574993,0.4588521667760242,0.377564609236666,0.5206591133169579,0.481715574871812,0.3815645826229291,0.24206993292284334,0.2504429147154298,0.24742330731019785,0.2290797164125747,0.2416507013680348
