item,l90,l130,l200,l250,o73,o84,o104,o128
initial volume mean,11.86489225,13.38946214,13.85358864,12.38475494,10.90680396,11.98427982,11.00049434,11.08873377
initial volume std,0.229181866,1.735958904,1.796506087,0.692754889,0.849730105,1.802321039,1.499153078,0.769999984
initial theta mean,53.85573441,51.49392349,61.88218194,65.20163267,39.70734072,38.66339254,36.78156007,44.65055478
initial theta std,6.608023789,7.375059407,3.393966986,3.892100228,1.027125872,7.345203692,1.845085006,5.466373156
initial contact radius mean,23.98433293,25.47505288,23.55396091,22.1322209,26.39912018,27.71715035,27.23325693,25.39323349
initial contact radius mean,1.210336374,2.059939881,0.871902318,0.480501975,0.715370429,2.86277045,1.114712249,1.092709464
porosity,0.20724494,0.111938551,0.13103495,0.094338128,0.145538339,0.138378627,0.112683937,0.102211367
permeability,7.37748E-18,1.10363E-18,9.4641E-19,5.27392E-19,1.6665E-18,1.39033E-18,9.74347E-19,8.39564E-19
