l90_1,l90_3,l90_4,l90_5,l250_1,l250_5,l250_6,l250_7,o73_1,o73_2,o73_3,o73_4,o73_5,o128_1,o128_2,o128_3,o128_4,o128_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.000925607170558,0.051060319059160975,-0.1611549450218348,0.8278551314801845,-4.746288558903976,0.391703620190313,0.6463642551695301,0.16411241120412967,1.0605099526227375,2.3153019901894893,-0.5457825063736408,1.2755374379430258,0.36929254934207023,-3.105907041199444,0.006146105930046275,-0.28221375723230224,1.7893797208740525,0.5083394229513587
-3.370078943197228,-0.24722944677079184,-0.3982569276184762,1.1793708723357526,-7.478414900870042,0.6336768132301991,0.4617498118566346,0.33610377066443675,1.909318404382919,3.602814667091508,-0.5070259651701008,2.1893786710679244,0.8081867303825732,-4.146745531023466,0.054497622209702,-0.4240164868920608,3.2329745326091337,1.1730249834634598
-5.278674859290111,-1.4926952315589477,-0.228126620145396,1.4579803456514355,-8.398236951119767,0.8486505146059962,0.2285799405677267,0.4559069110655756,2.8815852833903395,4.261616858925564,-0.6860892867883912,2.5151368428681384,1.3062335528011388,-3.2217822548020187,-0.005420373367350351,0.08935076318619295,4.1928945453056565,1.3495382583646176
-5.934772399930402,-2.9608114878217826,0.07324483768350376,1.3323404157694156,-8.440610936464267,0.8588639000936737,-0.014555803246004471,0.515383626848525,3.0455124859838096,4.783827918094474,-0.17073841222583042,3.0032137452189254,2.2135151947246143,-3.3682434125163496,-0.34993019063661635,1.2453800071810301,5.0031174519127175,1.97443986395324
-7.006169800726213,-3.784920085372864,0.5668227744572718,1.8335309622020761,-8.320164867002486,0.9142699591724082,0.4903420952797006,0.3076125876411453,3.5121062000137897,5.622809422449971,0.04509692690904288,3.506961691174837,3.1576715931592427,-3.0978474212789284,-0.5202481973032747,2.0589569675863584,5.48837396141167,2.115460324449053
-7.373724340745086,-3.7650514451236425,0.4142942406726355,2.0899229323143445,-7.989325914570777,0.7692364068545814,0.467391143913666,0.5455939350210741,4.156950796834664,6.298787000659252,0.6563327643848034,3.7079725091732776,4.139905725197512,-2.97204390704713,-0.4194586877819191,2.8727729914919315,5.5221190180665305,2.4875285555310778
-7.1832305368771525,-3.5640341341456327,0.00730028219377843,1.9153449754697287,-8.181022637412147,0.7426559770987602,1.0392632806176962,0.5749796923102863,4.20835512110099,6.8473823928614665,0.5426746126061239,3.9177784798488564,4.699536654173271,-2.8237922263040467,0.31761375147836546,2.897959534686116,5.9985237490562575,2.1992622479376718
-6.8488137045637245,-4.8673056169231685,0.3097465713100505,1.948472704708685,-8.257275868825502,0.7718761197668123,1.2710151435240036,0.9049628156191218,4.572100044286799,7.3864803816982105,0.41627683826740736,4.026827699646169,4.900820904509487,-2.820121840784811,0.6793778674883413,3.339689477257629,6.616789425044775,2.4673466140042244
-7.098404103134996,-5.578018528666049,0.9667188710118886,1.8536334720906391,-8.074977295075914,0.7618361682940602,1.443260513653151,1.0514217752798132,4.756386089119005,7.8780640183197645,0.4257248581032336,4.5069263620482145,5.341155851148848,-2.267868319462078,0.9797201584533396,3.2347438268214286,7.5770679445917075,2.7268193310473805
-6.945907930781961,-5.866167454504301,1.1312741433384623,2.2367119975184018,-7.483128305739918,0.93728152664751,1.4057057271549347,1.1603950814220454,5.361175816246892,8.824161529692407,0.8281319325848493,4.6590238061732,6.020444641550963,-1.8914017231919829,0.94030210535907,3.310193997003424,8.024683397203606,3.2701204474474466
-7.382202968315563,-5.157371615956818,0.9175595725125304,2.417403247589956,-7.070129230727513,0.8917886254773322,1.29801841810691,1.4995619860307061,5.8067759259059075,8.871865622797984,1.1799408135564136,5.0532230835549035,7.0330683675983074,-1.3623025440730991,1.2969906700821277,3.6107249621112985,8.28849301114111,3.2592168963780463
-6.679865329420045,-4.575539606185334,0.9785707863813188,2.607940134237559,-7.0247829318483115,0.9149425740837244,1.5882031285125289,1.590186929665791,5.825826613633399,9.41996206273852,1.4971382558949706,5.3845154176295225,7.264060165667676,-0.9112028700423558,1.1806491152895688,3.726275866568656,8.690496263771017,3.382500677121726
-5.834727043437287,-5.020954247683816,1.4908329381810113,2.9305856775401513,-7.223969445101543,0.8171154467399226,1.722284887818052,1.751655296581916,6.055562178146182,9.40247193501864,1.6577968149013709,5.648418346864644,7.899510019482374,-0.26491804601709745,1.6068112741760778,3.8072453103157504,8.888801001193514,3.731663474625467
-5.424543997523529,-5.230600047418292,1.8340370899070884,3.0909922393158986,-7.181167244845744,0.8993141558127675,1.847879395287784,1.810241424100269,6.0200111311188875,10.404670238871699,1.6490468970884713,5.7069568763721,8.075005149783905,0.10167301535781803,1.6379088680826328,3.5153578748777115,9.25104067400608,4.1973853688454374
-5.114589779031526,-5.770285835447207,1.5926988562391138,3.1275283101770377,-7.1106055515548325,1.1934856183914206,1.9909145350934168,1.7634929367269443,6.264972501259245,9.410031391873293,1.867885732130212,6.021932924717787,8.963632090777836,0.3404739250956581,2.4067734087835295,3.692446625210266,9.228610049514169,4.628382661391616
-5.424990341862132,-5.9425125679401685,1.8507330258879868,3.4045380239139216,-6.861025945629906,1.3158449740497955,2.2988945945925683,1.8746029169588605,6.449400418161048,8.534250555267208,1.8814505162458242,6.477250144457327,9.482056627436297,0.6618541566538134,2.66079833952972,3.7581192555776153,9.515559305194412,4.650099458053682
-5.181100468594174,-6.164269849850522,1.8700780356142241,3.5279818720993283,-6.956655982797718,1.323938878740666,2.5544414596413034,1.968131107903499,6.85668668308676,7.45354817853644,1.9624778600284216,6.742126993557726,10.335165844436414,1.0626720162051022,3.2043822087296303,4.166685859562566,9.71014535202618,4.613577059260987
-5.401781139454702,-6.472553557156522,2.5158474395782204,3.942333353948868,-6.9293810652113965,1.2391057899204796,2.3927583957789444,1.9110284419139132,7.350533550472948,9.09782396813242,1.7423078576840323,7.040105068090236,10.720239499897447,1.3151234554798243,3.3761071915036496,4.251912996414418,9.794115423893432,4.875049965212566
-5.793945042636732,-6.769404319749569,2.4138538299222887,4.043534569020789,-6.9040191570374345,1.0498378553081764,2.4704342298850364,2.1672353811756686,7.536010173408643,10.57914178181144,1.6886440356752228,7.183696478977952,11.069107649569897,1.774308518844002,3.5616717468561205,4.304192889942858,10.113073220655636,5.097762109294736
-6.051867571485968,-6.652811535205336,2.579675872422396,4.104641933761639,-6.609127933999642,1.0222143324572457,2.3364830791997013,2.099135913736493,7.7469499273475435,12.167920446661837,1.868446312808532,7.397251271930015,11.479297265748748,2.0145195281232304,3.827363034088164,4.123481705695962,10.460898005306143,5.39007008841438
-6.381198466937271,-6.560601358591674,2.731718763333898,4.0210043209859165,-6.493091874631766,1.1257729571167587,2.558234294358769,2.4335309134012384,8.056718529870443,12.541378001434053,2.0093842343669674,7.534306774648429,12.02774445541416,2.46267405426385,3.885258141305881,4.241617365202858,10.950039945875831,5.2968445415886
-6.350211354770229,-6.7104458643572045,3.0714423928383923,3.957552477279464,-6.420057584283363,1.1934375627595273,2.5193265524076023,2.684115012606608,8.441351632540567,13.06160778269181,2.135005624713248,7.723484457552452,12.447771559146886,2.813619428858754,4.243611496679705,4.5512983237878375,11.202211877497055,5.420264608881768
-6.307919852006105,-7.0531483952026015,3.369376714427069,3.827598225906403,-6.394287584695682,1.2839877225705152,2.8930655380892745,3.0035683111081117,8.521767876722143,13.216794090421187,2.291329606633232,8.010946128493847,13.157263802575047,3.1748288290728097,4.3473929371919136,4.804452988721336,11.038392729341822,5.703373879864715
-6.164045676417012,-7.4605428453148175,3.0506077043526365,4.047808123597741,-6.237600631822533,1.1182089168504843,3.1165431039522677,3.1891117872031955,8.583508567628378,13.405712879767856,2.533899477242852,8.116681985161849,13.741017740548065,3.4598964720456435,4.7922386312891385,5.020041138279568,10.988287928026962,5.906909305171128
-5.82846492421535,-7.419832968707876,2.921159099540976,3.871244893924274,-6.119956621442356,1.2066299375870155,3.4201607553294235,3.1308824809750178,8.836001009552001,13.857839108534643,2.7975861451294577,8.300913861322744,14.471789246961356,5.625395679475163,4.988601770323354,5.170795799018926,10.845746444079044,6.164957718041353
-5.516665712500829,-7.229051815131313,3.062368722695062,4.2272421377893465,-6.234880776918674,1.181200224629814,3.629832663298068,3.127622129615151,9.244372181448584,,2.9409073118778264,8.503284667095098,14.851545481703038,5.900743572443759,5.270991776017025,5.316364426168295,11.037168637409923,6.267100619171528
-5.412421823434968,-6.969132399400397,3.4895796157931787,4.305580630861659,-6.309222583277197,1.2978539276867416,3.7054742052307255,3.3024812406010184,9.572778456683004,,3.1454417509166386,8.701688488414,15.136077550840206,6.1331401272357,5.558316438146694,5.333191054689074,,6.591296937642076
-5.564122099598817,-6.861383570139254,3.7589319003080783,4.7788542034999635,-6.176092805160028,1.320507327822506,3.7786118245993454,3.4222553439568313,9.67360411416769,,3.285327393038438,8.778910009564635,15.222734324173258,4.17158464776214,5.870393843868802,5.379616644774611,,6.557905684970323
-5.2877052504340085,-6.967615921702045,3.669295922737497,4.7441946832154205,-6.03799335119113,1.3740241472270682,3.6744997286428,3.7244758789242063,9.873853115886725,,3.65197132466508,8.986676300002426,,4.323666390736086,6.1696254029948845,5.422652337533019,,6.692516473394508
-5.011200569312832,-6.908113334234075,3.759359955748062,4.931902853289452,-5.802537436935056,1.396370321761724,3.7176581065077126,3.7322288571640847,10.069362702709538,,3.9238732585952962,9.34469870868408,,4.787629615631087,6.394274499878267,5.502119876923143,,6.8261372202664745
-4.87980731514563,-6.892579005578005,3.929221435114922,4.896691147859689,-5.894249038254159,1.4927751341857896,3.739243246576424,3.910258890240677,10.356521979681895,,4.4072925689215685,9.548906204494738,,5.151716476771158,6.469115435401994,5.580871806045549,,7.043166720311921
-5.015170960022607,-6.873656944498813,3.9489820102126254,5.09550097406029,-5.948059221503586,1.534834331951794,3.9160669163814017,3.948770310044488,10.66787566852081,,4.89322452970938,9.421973645192294,,5.401901329733971,6.5732316211530994,5.67304377425422,,7.261818006376475
-4.956586026312628,-6.847027955794348,4.216051474206704,5.1938874303786795,-5.861263861257317,1.657984745067079,4.005517102519958,4.287808638773239,10.73357272362343,,5.653320248974267,,,5.790500898842742,6.7927609464097305,5.8149481632010485,,7.379717389136206
-5.092108490418628,-6.8045091273458835,4.361289153535943,5.388820779998016,-5.70782488767985,1.4597849874302933,4.1611318002098185,4.317476331743812,10.502866283468856,,,,,6.1639322040090265,7.145682598914603,5.984423783926553,,7.758137381697207
-5.215455031039291,-6.925810048023019,4.720452402234144,5.355810288650714,-5.41790299782817,1.3844864531731194,4.441071795639212,4.380477665083577,,,,,,6.720276753770492,7.577727546241538,6.212365931024794,,8.123679505338886
-6.921615286077543,-7.131199182251325,4.674457066593881,5.373810289104347,-5.366474877125599,1.2908649972294324,4.7382209657736425,4.487101867939726,,,,,,7.114150304014911,7.980331660895847,6.907543047373432,,
-6.762869561343858,-7.1928207846758845,4.7424624548881145,5.671859726786089,-5.3253250561992544,1.5376121730443426,5.0205066867422765,4.873105405942479,,,,,,,,7.750993065883303,,
-6.605871702671287,-7.200919940820173,4.797776007052502,5.933782327770736,-5.277559840886228,1.5792822186064708,5.163424770916548,5.131951723780894,,,,,,,,8.037209794865289,,
-4.830430548270803,-7.151627178776609,4.761264418658626,6.0446175120075765,-5.269721446087174,1.5079523986545968,5.379044616309967,5.246089309081403,,,,,,,,8.033260013838412,,
-4.687778034062479,-7.121263474219421,4.824204167269301,5.932376430472659,-5.121073064314086,1.334116957572963,5.51345898865592,5.436150762929107,,,,,,,,7.63160476082896,,
-4.486305056137535,-6.991260946957311,4.753982649244303,6.102925778819606,-5.239875702181137,1.3863635707249138,5.462391382360238,5.753613939327984,,,,,,,,7.907874762225728,,
