l90_1,l90_3,l90_4,l90_5,l250_1,l250_5,l250_6,l250_7,o73_1,o73_2,o73_3,o73_4,o73_5,o128_1,o128_2,o128_3,o128_4,o128_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.023531407043349085,0.02688463845738657,0.01981216965261168,0.018664444392298814,0.026550686518898955,0.021274114014725745,0.018538461990214385,0.018095755406469613,0.021029591287221074,0.018955235913276955,0.023309623997493464,0.021947796794197904,0.019501859677037606,0.021554538402989154,0.021384335302974792,0.021101939494687555,0.020337611971109126,0.021171224788294928
0.047244645118130445,0.053663651082650664,0.0395468022276448,0.03720022909555299,0.05364014506234891,0.04235868619444911,0.03701128249303919,0.036081545567059566,0.04180144383026734,0.03776099953450696,0.04647906658018362,0.04358976903098664,0.038976700637555234,0.04321267038509404,0.0426388336057522,0.042112379376440724,0.040364006565127314,0.04209635310499425
0.07124771855859319,0.08068496261284269,0.05913519266038118,0.05559916879900046,0.08078071962757358,0.06325013097289289,0.0554294948091402,0.0539526081599306,0.06226437675359101,0.05645810589049121,0.06954640802479282,0.0650358068328377,0.05836512572024653,0.06458011788658785,0.06378947345403786,0.0628977285678925,0.06013813550214925,0.06285762071283581
0.09523559852335833,0.10800371606760233,0.07855890452756202,0.07392617864208657,0.10775279622874671,0.08399466772503714,0.07378564246169636,0.07171491517694908,0.08258656605909014,0.07504674217642279,0.09235059699969407,0.08626003216246178,0.07760327945527874,0.08586487272702417,0.08489196738279431,0.0833152109942208,0.07967585432992776,0.08337163668946151
0.11931298614829695,0.13538456717491004,0.09777487364191831,0.0920814271524901,0.1345248325896636,0.10458107173863063,0.09195719344115166,0.08940387474195598,0.10269597931489982,0.0934890085486645,0.1149665379167036,0.10725110280318062,0.09667146740484608,0.10698796696872662,0.10591476455099298,0.10340146632423587,0.09903089268047553,0.10373031035526363
0.14332154925450238,0.16253587089004806,0.11689734586470656,0.11009681918956565,0.16102707670704888,0.12505859682041165,0.1100241592284942,0.10695674052817425,0.12255204363356355,0.11183069405139308,0.13729100049087273,0.12807016519930192,0.11556890877432822,0.12796823331844037,0.12679174749783334,0.1231557616092864,0.1182845158733068,0.12388804683728491
0.16712114182021115,0.18938357917588167,0.1359757130054659,0.12802469725568605,0.18740594939564084,0.14539711380523174,0.1278847744741715,0.12439926546051601,0.142273793164558,0.130084878249251,0.15950416660774086,0.1487232593459209,0.13433566597284635,0.14880161079947843,0.14737111228984648,0.14275632136651367,0.13736651297394106,0.14397567695948132
0.19068964795862625,0.21649001517324987,0.15488548804002852,0.14585163800463757,0.21362792353095328,0.16557845890676368,0.1455946487809164,0.14168703042883063,0.1617978967750103,0.14824663073568323,0.18161169779007388,0.1692393814399184,0.15302917768913582,0.1695196369664563,0.16772883651516288,0.16209838416934252,0.1562473275884064,0.16388750026060464
0.2141537413343733,0.24361379734863184,0.17354853132359666,0.163594448673047,0.23960966583000398,0.18560967025047395,0.1631594309967575,0.15884759143028568,0.18116004713884007,0.16626516382678908,0.20358804741019967,0.18953559191262462,0.17161002506666015,0.19000782158135263,0.18787812583757943,0.18131269079453158,0.1748618244774208,0.1836225521275359
0.2374353431674105,0.27062882118627485,0.1920598450963502,0.18117732982395712,0.2652178469155256,0.2054445799887909,0.18061645236017335,0.17588256202514518,0.2002687384630473,0.18410429083204327,0.22532738771784974,0.20968760317336274,0.19005830400818632,0.21029105070661067,0.20789957196113823,0.2003539613423391,0.19330245158920695,0.20311755523740854
0.2606600092339308,0.29714675982190664,0.21048440663170545,0.19862648031856314,0.29050300821173536,0.2251352767586152,0.19797801364553608,0.19275489410717372,0.21915785703130225,0.20194503281776163,0.24685286450091878,0.2296337710214218,0.20832244523787988,0.23033576601179573,0.22769494531080114,0.21916564602735553,0.21161123399545598,0.2224849851319582
0.2835512723421834,0.3232088593450396,0.2287869273159629,0.21594452086212063,0.31558257357072267,0.24466364119192868,0.21517391814970335,0.20950517771507923,0.2379238258098227,0.21971037629829648,0.268173307163829,0.24939697621915993,0.22652171146289812,0.25015756335977574,0.24737274559376277,0.23779360233227356,0.2297619230474361,0.24170339938257213
0.30603706414309495,0.34920363457095877,0.24684971483811355,0.23309777482969035,0.34053431070834,0.2640605532355269,0.23222685313032054,0.22612217697957473,0.2565242196908759,0.2375200495173626,0.2893505393451287,0.2689934476390531,0.24460185365213,0.26971237459655656,0.2668100410330332,0.2562440999057261,0.24779603058915062,0.2607349685919701
0.3282301219737316,0.3750382443649581,0.26472481287551636,0.25012788912682876,0.36527626899384075,0.28327922240358955,0.24913680737369512,0.242623610860971,0.2750202982667717,0.25522248781138135,0.31040879118486203,0.2884744914898465,0.262628613837091,0.28906437783421357,0.2861073584341958,0.274619736485216,0.26568026590293964,0.2795559332760929
