item,l90,l130,l200,l250,o73,o84,o104,o128
initial volume mean,18.55509967,16.56895891,12.75691308,16.86153545,16.29272381,15.88989131,15.56664029,20.12137701
initial volume std,2.576701777,0.482959233,7.588634036,2.096422384,0.289049503,1.645832698,2.1469096,2.834615411
initial theta mean,74.54149787,72.28137052,62.59832175,81.51473371,55.06670973,47.80238932,50.59539691,64.0532101
initial theta std,6.149719924,6.436548252,19.94988609,2.999030339,4.535767579,7.636603363,6.361153817,11.96154325
initial contact radius mean,23.52833266,23.0956192,17.58589505,21.50033462,26.35617322,27.9216386,26.94769048,26.50427873
initial contact radius mean,2.101261305,1.405944436,9.264151744,1.075853335,0.958670979,2.580699091,1.877599855,3.900308352
porosity,0.20724494,0.111938551,0.13103495,0.094338128,0.145538339,0.138378627,0.112683937,0.102211367
permeability,7.37748E-18,1.10363E-18,9.4641E-19,5.27392E-19,1.6665E-18,1.39033E-18,9.74347E-19,8.39564E-19
